Organ	Minimum	Q1	Q2	Q3	Maximum	Mean	Standard deviation
Prostate	17.490905227868925	20.67002726407387	21.792413306955098	22.598014461827105	23.28001450661637	21.447458962874695	1.5370416948285825
Colon	20.33576919495247	20.700436797562542	20.901007183191076	21.173950599202662	21.693095092180553	20.96219708185783	0.431150610424698
Esophagus	12.781483711586759	18.73505374635036	19.96518031390766	20.778653714615636	21.18648441547416	19.170359053880052	2.337383992295237
Stomach	10.087741978307315	17.661432374688836	19.46225612514194	20.326592391044358	20.89130264335701	18.172311647545374	3.177437328798092
Lung	17.910115154509818	18.949740628403916	19.284049836968087	19.703903105142835	20.912351262227048	19.290704734513067	0.5942952241453976
Kidney	9.949108532246195	18.44091432912805	18.833100615494686	19.223951704237756	20.226306150926156	18.750119485463298	1.0194320773471974
Liver	16.99641685148039	18.053222305087758	18.413212577020623	19.110952635322484	20.7459280427936	18.598090748982912	0.8546528847258421
Bladder	7.0779796061182365	12.28674148666413	17.199113867405707	18.003440114649493	19.341561564921893	15.165041204756369	4.410637076626864
Breast	0.0	16.247494275891867	17.06497617003039	17.649922289921435	19.151161441170398	15.74253639958443	4.387370579374434
Thyroid	13.64143928602386	16.010774888919673	16.49156788067916	16.875799067558596	17.698335882355114	16.348967439541614	0.7792604882990487
Uterine corpus	7.331959412126824	11.391801069297005	12.995776698283448	15.700107576831918	17.085847377278366	13.190548925211395	2.862804269640698
