Filename	Organ	Cell type	Number of cells	KDM5B	ACE2	TMPRSS2
smillie19_epi.processed.h5ad	Colon, epithelial	Best4+ Enterocytes	1097	0.08741641	0.017305473	0.6219871
smillie19_epi.processed.h5ad	Colon, epithelial	CD4+ Activated Fos-hi	28	0.100493014	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD4+ Activated Fos-lo	25	0.10076766	0.0	0.13811566
smillie19_epi.processed.h5ad	Colon, epithelial	CD4+ Memory	79	0.032140683	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD4+ PD1+	8	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD69+ Mast	14	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD69- Mast	48	0.05162035	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD8+ IELs	1063	0.043947086	0.0	0.014397079
smillie19_epi.processed.h5ad	Colon, epithelial	CD8+ IL17+	10	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	CD8+ LP	55	0.042753823	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Cycling B	29	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Cycling T	19	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Cycling TA	5343	0.09809758	0.023584718	0.25918812
smillie19_epi.processed.h5ad	Colon, epithelial	DC1	1	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	DC2	7	0.24961933	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Enterocyte Progenitors	2533	0.052000325	0.03366217	0.27132607
smillie19_epi.processed.h5ad	Colon, epithelial	Enterocytes	1839	0.06520533	0.13337316	1.5495901
smillie19_epi.processed.h5ad	Colon, epithelial	Enteroendocrine	117	0.1961433	0.05807618	0.21505009
smillie19_epi.processed.h5ad	Colon, epithelial	Follicular	171	0.016424516	0.0	0.032611873
smillie19_epi.processed.h5ad	Colon, epithelial	GC	35	0.15390797	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Goblet	777	0.05958778	0.014906273	0.42695725
smillie19_epi.processed.h5ad	Colon, epithelial	ILCs	2	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Immature Enterocytes 1	3230	0.043389525	0.077747665	0.8111775
smillie19_epi.processed.h5ad	Colon, epithelial	Immature Enterocytes 2	3760	0.084292375	0.05241759	0.8505853
smillie19_epi.processed.h5ad	Colon, epithelial	Immature Goblet	2252	0.07861492	0.0059201824	0.15559024
smillie19_epi.processed.h5ad	Colon, epithelial	M cells	15	0.08363128	0.0	0.37037632
smillie19_epi.processed.h5ad	Colon, epithelial	MT-hi	14	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Macrophages	38	0.0	0.0	0.065462165
smillie19_epi.processed.h5ad	Colon, epithelial	NKs	25	0.28577346	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Plasma	80	0.0	0.0	0.052266397
smillie19_epi.processed.h5ad	Colon, epithelial	Secretory TA	1834	0.12441096	0.009185398	0.2902428
smillie19_epi.processed.h5ad	Colon, epithelial	Stem	694	0.12226815	0.013672123	0.32680923
smillie19_epi.processed.h5ad	Colon, epithelial	TA 1	4881	0.06826815	0.01730543	0.15883379
smillie19_epi.processed.h5ad	Colon, epithelial	TA 2	4413	0.13043317	0.03534696	0.29601392
smillie19_epi.processed.h5ad	Colon, epithelial	Tregs	6	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	Tuft	228	0.14753388	0.020294942	0.4043506
smillie19_epi.processed.h5ad	Colon, epithelial	WNT2B+ Fos-lo 1	1	0.0	0.0	0.0
smillie19_epi.processed.h5ad	Colon, epithelial	WNT5B+ 2	1	0.0	0.0	0.0
james20.processed.h5ad	Colon, immune cells	Activated CD4 T	1531	0.09512178	0.0	0.0024057
james20.processed.h5ad	Colon, immune cells	B cell IgA Plasma	12522	0.0656078	0.00012778505	0.00855176
james20.processed.h5ad	Colon, immune cells	B cell IgG Plasma	342	0.066288866	0.0	0.015045419
james20.processed.h5ad	Colon, immune cells	B cell cycling	15	0.16697606	0.0	0.0
james20.processed.h5ad	Colon, immune cells	B cell memory	4508	0.107492305	0.00048280493	0.0020073007
james20.processed.h5ad	Colon, immune cells	CD8 T	3145	0.09860657	0.00097074226	0.0012830122
james20.processed.h5ad	Colon, immune cells	Follicular B cell	2582	0.08657132	0.0	0.0024694612
james20.processed.h5ad	Colon, immune cells	ILC	832	0.26689622	0.0	0.010158501
james20.processed.h5ad	Colon, immune cells	LYVE1 Macrophage	91	0.12147786	0.0	0.0
james20.processed.h5ad	Colon, immune cells	Lymphoid DC	10	0.89177096	0.0	0.0
james20.processed.h5ad	Colon, immune cells	Macrophage	268	0.079631776	0.0	0.004630541
james20.processed.h5ad	Colon, immune cells	Mast	1151	0.14385231	0.0	0.001411197
james20.processed.h5ad	Colon, immune cells	Monocyte	98	0.07185449	0.0	0.0
james20.processed.h5ad	Colon, immune cells	NK	452	0.20885803	0.0	0.0
james20.processed.h5ad	Colon, immune cells	Tcm	3042	0.08076346	0.0	0.00061491167
james20.processed.h5ad	Colon, immune cells	Tfh	1786	0.049668718	0.0	0.0018476626
james20.processed.h5ad	Colon, immune cells	Th1	2833	0.10298842	0.0	0.0026836016
james20.processed.h5ad	Colon, immune cells	Th17	3432	0.104632415	0.0	0.001501674
james20.processed.h5ad	Colon, immune cells	Treg	2232	0.13014168	0.0	0.0014525543
james20.processed.h5ad	Colon, immune cells	cDC1	38	0.08999258	0.0	0.0
james20.processed.h5ad	Colon, immune cells	cDC2	107	0.18657649	0.0	0.0
james20.processed.h5ad	Colon, immune cells	cycling DCs	47	0.044421144	0.0	0.0
james20.processed.h5ad	Colon, immune cells	cycling gd T	25	0.13354069	0.0	0.0
james20.processed.h5ad	Colon, immune cells	gd T	548	0.23546594	0.0	0.014303514
james20.processed.h5ad	Colon, immune cells	pDC	13	0.26416415	0.0	0.0
wang20_rectum.processed.h5ad	Rectum	Enteriendocrine	66	0.32945615	0.044061497	0.31595096
wang20_rectum.processed.h5ad	Rectum	Enterocyte	584	0.1440145	0.17822519	1.4530765
wang20_rectum.processed.h5ad	Rectum	Goblet	899	0.19899821	0.002730217	0.60634756
wang20_rectum.processed.h5ad	Rectum	Paneth-like	299	0.20682989	0.031673264	0.95045495
wang20_rectum.processed.h5ad	Rectum	Progenitor	1435	0.2581359	0.023994114	0.68772143
wang20_rectum.processed.h5ad	Rectum	Stem Cell	258	0.20957711	0.012800197	0.52063435
wang20_rectum.processed.h5ad	Rectum	TA	256	0.19182438	0.020109788	0.57227343
vento18_10x.processed.h5ad	Placenta/Decidua	DC1	299	0.044262107	0.0	0.0
vento18_10x.processed.h5ad	Placenta/Decidua	DC2	314	0.035588183	0.0	0.0
vento18_10x.processed.h5ad	Placenta/Decidua	EVT	2360	0.2748379	0.004173256	0.0014451138
vento18_10x.processed.h5ad	Placenta/Decidua	Endo (f)	95	0.21009576	0.0	0.0
vento18_10x.processed.h5ad	Placenta/Decidua	Endo (m)	821	0.21785206	0.0027126847	0.0
vento18_10x.processed.h5ad	Placenta/Decidua	Endo L	344	0.19165947	0.0	0.0
vento18_10x.processed.h5ad	Placenta/Decidua	Granulocytes	218	0.24881335	0.0037873357	0.0
